state_cL,ftype_cL,fsource_cL,fsink_cL,cL,exmL,state_exmL,ftype_exmL,fsource_exmL,fsink_exmL,c,exm,empty
CO,NA,NA,NA,CO Agricultural Meteorology Network Station (COAGM),NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#COAgriculturalMeteorologyNetworkStation,NA,NA
NM,NA,NA,NA,Winter Ice Surface Area,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#WinterIceSurfaceArea,NA,NA
CA,Inflow,NA,NA,Total Groundwater System Inflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemInflow-CA,NA,NA
CA,Outflow,Zone Surface Water,Atmosphere,Conveyance Evaporation-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#ConveyanceEvaporation-CA,NA,NA
CO,NA,NA,NA,Instream Flow Demand - Annual,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#InstreamFlowDemand-Annual,NA,NA
NM,NA,NA,NA,USDA Farm Service Agency,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#USDAFarmServiceAgency,NA,NA
WY,NA,NA,NA,Direct Communication,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#DirectCommunication,NA,NA
CO,NA,NA,NA,Baseflow,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Baseflow,NA,NA
CO,NA,NA,NA,US Bureau of Reclamation Stations,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#USBureauOfReclamationStations,NA,NA
NM,Internal Transfer,Zone Surface Water,Zone Land System,Irrigated Agriculture Diversions-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDiversions-NMOSE,NA,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Irrigated Agriculture Diversions-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDiversions-NMOSE,NA,NA
WY,NA,NA,NA,WY Electrical Generation Method,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#WYElectricalGenerationMethod,NA,NA
CA,Internal Transfer,Zone Surface Water,Zone Groundwater,Stream Loss to Groundwater-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#StreamLossToGroundwater-CA,NA,NA
CO,Outflow,Zone Surface Water,Atmosphere,Livestock Consumptive Use-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#LivestockConsumptiveUse-CO,NA,NA
CO,Outflow,Zone Groundwater,Atmosphere,Livestock Consumptive Use-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#LivestockConsumptiveUse-CO,NA,NA
CO,NA,NA,NA,Colorado Census Bureau,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#ColoradoCensusBureau,NA,NA
NM,NA,NA,NA,Commercial: Incomplete Metered-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Commercial%3AIncompleteMetered-NMOSE,NA,NA
NM,Outflow,Zone Surface Water,Atmosphere,River Evaporation-NM,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#RiverEvaporation-NM,NA,NA
UT,Outflow,Zone Surface Water,Atmosphere,Municipal and Industrial Depeltion-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialDepeltion-UT,NA,NA
UT,Outflow,Zone Groundwater,Atmosphere,Municipal and Industrial Depeltion-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialDepeltion-UT,NA,NA
NM,Inflow,External Groundwater,Zone Groundwater,Groundwater Inflows-NM,Subsurface Inflow-CA,CA,Inflow,External Groundwater,Zone Groundwater,http://purl.org/iow/WaterBudgetingFramework#GroundwaterInflows-NM,http://purl.org/iow/WaterBudgetingFramework#SubsurfaceInflow-CA,NA
UT,Outflow,Zone Surface Water,Atmosphere,Agricultural and Municipal Depletions-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#AgriculturalAndMunicipalDepletions-UT,NA,NA
UT,Outflow,Zone Groundwater,Atmosphere,Agricultural and Municipal Depletions-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#AgriculturalAndMunicipalDepletions-UT,NA,NA
CO,Outflow,Zone Surface Water,External Surface Water,Exports-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Exports-CO,NA,NA
CO,Outflow,Zone Surface Water,External Groundwater,Exports-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Exports-CO,NA,NA
CO,Outflow,Zone Groundwater,External Surface Water,Exports-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Exports-CO,NA,NA
CO,Outflow,Zone Groundwater,External Groundwater,Exports-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Exports-CO,NA,NA
UT,Internal Transfer,Zone Groundwater,Zone Land System,Groundwater Use-UT,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#GroundwaterUse-UT,NA,NA
CO,NA,NA,NA,Gage Height,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#GageHeight,NA,NA
CO,Inflow,External Surface Water,Zone Land System,Imports-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Imports-CO,NA,NA
CO,Inflow,External Groundwater,Zone Land System,Imports-CO,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Imports-CO,NA,NA
CA,Internal Transfer,Zone Groundwater,Zone Surface Water,Stream Gain from Groundwater-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#StreamGainFromGroundwater-CA,NA,NA
NM,NA,NA,NA,NMOSE Technical Report No. 48,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#NMOSETechnicalReportNo.48,NA,NA
NM,NA,NA,NA,US Bureau of Reclamation,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#USBureauOfReclamation,NA,NA
