state_cL,ftype_cL,fsource_cL,fsink_cL,cL,pscL,state_pscL,ftype_pscL,fsource_pscL,fsink_pscL,c,psc,empty
NM,NA,NA,NA,Power: Unreported-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Power%3AUnreported-NMOSE,NA,NA
NM,NA,NA,NA,Public Water Supply: Metered-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/PublicWaterSupply%3AMetered-NMOSE,NA,NA
NM,NA,NA,NA,Public Water Supply: Unmetered-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/PublicWaterSupply%3AUnmetered-NMOSE,NA,NA
CA,NA,NA,NA,Agricultural Applied Water-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAppliedWater-CA,NA,NA
CA,NA,NA,NA,On-farm water use data,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/On-farmWaterUseData,NA,NA
CA,NA,NA,NA,Cal-SIMETAW Model,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Cal-SIMETAWModel,NA,NA
CA,NA,NA,NA,Water-Duty Based Approach,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Water-DutyBasedApproach,NA,NA
CA,NA,NA,NA,MODFLOW-OWHM: One Water Hydrologic Flow Model,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/MODFLOW-OWHM%3AOneWaterHydrologicFlowModel,NA,NA
CA,NA,NA,NA,USGS California Water Science Center - Groundwater Modeling,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/USGSCaliforniaWaterScienceCenter-GroundwaterModeling,NA,NA
CA,NA,NA,NA,USGS Surface-Water Data for California,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/USGSSurface-WaterDataForCalifornia,NA,NA
CA,NA,NA,NA,Lake Inflow from Streams-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/LakeInflowFromStreams-CA,NA,NA
CA,NA,NA,NA,Lake Outflow to Streams-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/LakeOutflowToStreams-CA,NA,NA
CA,NA,NA,NA,NOAA National Centers for Environmental Information - Climate Data Online,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/NOAANationalCentersForEnvironmentalInformation-ClimateDataOnline,NA,NA
CA,NA,NA,NA,NOAA National Centers for Environmental Information - Climatological Data Publications,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/NOAANationalCentersForEnvironmentalInformation-ClimatologicalDataPublications,NA,NA
CA,NA,NA,NA,CA DWR Public Water Supply Statistics Data-Historical,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DWRPublicWaterSupplyStatisticsData-Historical,NA,NA
CA,NA,NA,NA,Daily Short-Wave Solar Radiation,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/DailyShort-WaveSolarRadiation,NA,NA
CA,NA,NA,NA,METRIC-Earth Engine Evapotranspiration Flux,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/METRIC-EarthEngineEvapotranspirationFlux,NA,NA
CA,NA,NA,NA,NOAA Office of Satellite and Product Operations ALEXI: Atmosphere-Land Exchange Inverse Model,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/NOAAOfficeOfSatelliteAndProductOperationsALEXI%3AAtmosphere-LandExchangeInverseModel,NA,NA
CA,NA,NA,NA,North American Land Data Assimilation System (NLDAS-2),NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/NorthAmericanLandDataAssimilationSystem%28NLDAS-2%29,NA,NA
CA,NA,NA,NA,TOPS-SIMS: Satellite Irrigation Management Support,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/TOPS-SIMS%3ASatelliteIrrigationManagementSupport,NA,NA
CA,NA,NA,NA,Managed Wetland Applied Water-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/ManagedWetlandAppliedWater-CA,NA,NA
CA,NA,NA,NA,Urban Applied Water-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/UrbanAppliedWater-CA,NA,NA
CA,NA,NA,NA,Population and Per-Capita Water Use,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/PopulationAndPer-CapitaWaterUse,NA,NA
CA,NA,NA,NA,Central Valley Spatial Database-part of the Central Valley Hydrologic Model [CVHM] project,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/CentralValleySpatialDatabase-partOfTheCentralValleyHydrologicModel%5BCVHM%5DProject,NA,NA
CA,NA,NA,NA,USGS Precipitation-Runoff Modeling System (PRMS),NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Precipitation-RunoffModelingSystem%28PRMS%29,NA,NA
CA,NA,NA,NA,Cross-sectional area subject to boundary flow (Ab),NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework/Cross-sectionalAreaSubjectToBoundaryFlow%28Ab%29,NA,NA
UT,Outflow,Zone Groundwater,Atmosphere,Agricultural and Municipal Depletions-UT,Crop Consumptive Use-CO,CO,Outflow,Zone Land System,Atmosphere,http://purl.org/iow/WaterBudgetingFramework/AgriculturalAndMunicipalDepletions-UT,http://purl.org/iow/WaterBudgetingFramework/CropConsumptiveUse-CO,NA
