dsL,pL,emL,cL
US Census Bureau,Population Served by Public Water Supply,Withdrawal Method,Public Water Supply-NMOSE
New Mexico Environment Department (NMED),Population Served by Public Water Supply,Withdrawal Method,Public Water Supply-NMOSE
University of New Mexico Geospatial and Population Studies (UNM GPS),Population Served by Public Water Supply,Withdrawal Method,Public Water Supply-NMOSE
NM Office of the State Engineer (NMOSE),Flow,Metered,Public Water Supply-NMOSE
PRISM,Mean Monthly Air Temperatures (T),NM Irrigation Withdrawals,Commercial: Golf Courses-NMOSE
Weather Stations,Mean Monthly Air Temperatures (T),NM Irrigation Withdrawals,Commercial: Golf Courses-NMOSE
PRISM,Monthly Precipitation Volume,NM Irrigation Withdrawals,Commercial: Golf Courses-NMOSE
Weather Stations,Monthly Precipitation Volume,NM Irrigation Withdrawals,Commercial: Golf Courses-NMOSE
NM Office of the State Engineer (NMOSE),Gross Actively Irrigated Acreage,NM Irrigation Withdrawals,Commercial: Golf Courses-NMOSE
New Mexico Interstate Stream Commission (NMISC),Gross Actively Irrigated Acreage,NM Irrigation Withdrawals,Commercial: Golf Courses-NMOSE
USDA Cropland Data Layer (CDL),Gross Actively Irrigated Acreage,NM Irrigation Withdrawals,Commercial: Golf Courses-NMOSE
National Agricultural Statistics Service,Gross Actively Irrigated Acreage,NM Irrigation Withdrawals,Commercial: Golf Courses-NMOSE
USDA Farm Service Agency,Gross Actively Irrigated Acreage,NM Irrigation Withdrawals,Commercial: Golf Courses-NMOSE
NM Office of the State Engineer (NMOSE),Consumptive Irrigation Requirement (CIR),NM Irrigation Withdrawals,Commercial: Golf Courses-NMOSE
Facility Director or Operator,Water Use Estimate,Personal Outreach,Commercial: Unmetered-NMOSE
NM Office of the State Engineer (NMOSE),Unknown,Interpolation from Other Records,Commercial: Incomplete Metered-NMOSE
NM Office of the State Engineer (NMOSE),Flow,Metered,Commercial: Metered-NMOSE
NM Office of the State Engineer (NMOSE),Gallons Per Capita Per Day (GPDPC),Withdrawal Method,Commercial: Schools-NMOSE
National Oceanic and Atmospheric Administration Stations,Unknown,SCS TR21,Irrigated Agriculture-NMOSE
Weather Stations,Unknown,SCS TR21,Irrigated Agriculture-NMOSE
PRISM,Unknown,SCS TR21,Irrigated Agriculture-NMOSE
National Weather Service Stations,Unknown,SCS TR21,Irrigated Agriculture-NMOSE
Natural Resources Conservation Service Stations (NRCS),Unknown,SCS TR21,Irrigated Agriculture-NMOSE
New Mexico Climate Center Stations,Unknown,SCS TR21,Irrigated Agriculture-NMOSE
Western Regional Climate Center (WRCC) Stations,Unknown,SCS TR21,Irrigated Agriculture-NMOSE
PRISM,Solar Radiation,Daily Penman-Monteith,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Solar Radiation,Daily Penman-Monteith,Irrigated Agriculture-NMOSE
National Weather Service Stations,Solar Radiation,Daily Penman-Monteith,Irrigated Agriculture-NMOSE
Natural Resources Conservation Service Stations (NRCS),Solar Radiation,Daily Penman-Monteith,Irrigated Agriculture-NMOSE
Weather Stations,Solar Radiation,Daily Penman-Monteith,Irrigated Agriculture-NMOSE
New Mexico Climate Center Stations,Solar Radiation,Daily Penman-Monteith,Irrigated Agriculture-NMOSE
Western Regional Climate Center (WRCC) Stations,Solar Radiation,Daily Penman-Monteith,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Temperature,Daily Penman-Monteith,Irrigated Agriculture-NMOSE
PRISM,Wind Run,Daily Penman-Monteith,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Wind Run,Daily Penman-Monteith,Irrigated Agriculture-NMOSE
Natural Resources Conservation Service Stations (NRCS),Wind Run,Daily Penman-Monteith,Irrigated Agriculture-NMOSE
Weather Stations,Wind Run,Daily Penman-Monteith,Irrigated Agriculture-NMOSE
New Mexico Climate Center Stations,Wind Run,Daily Penman-Monteith,Irrigated Agriculture-NMOSE
Western Regional Climate Center (WRCC) Stations,Wind Run,Daily Penman-Monteith,Irrigated Agriculture-NMOSE
PRISM,Climate Coefficient (kt),Modified Blaney-Criddle,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Climate Coefficient (kt),Modified Blaney-Criddle,Irrigated Agriculture-NMOSE
PRISM,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Irrigated Agriculture-NMOSE
National Weather Service Stations,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Irrigated Agriculture-NMOSE
Natural Resources Conservation Service Stations (NRCS),Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Irrigated Agriculture-NMOSE
Weather Stations,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Irrigated Agriculture-NMOSE
New Mexico Climate Center Stations,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Irrigated Agriculture-NMOSE
Western Regional Climate Center (WRCC) Stations,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Irrigated Agriculture-NMOSE
Unknown,Unknown,Energy Balance Remote Sensing,Irrigated Agriculture-NMOSE
Unknown,Unknown,METRIC,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Solar Radiation,Original Hargreaves,Irrigated Agriculture-NMOSE
National Weather Service Stations,Solar Radiation,Original Hargreaves,Irrigated Agriculture-NMOSE
Natural Resources Conservation Service Stations (NRCS),Solar Radiation,Original Hargreaves,Irrigated Agriculture-NMOSE
New Mexico Climate Center Stations,Solar Radiation,Original Hargreaves,Irrigated Agriculture-NMOSE
Western Regional Climate Center (WRCC) Stations,Solar Radiation,Original Hargreaves,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Temperature,Original Hargreaves,Irrigated Agriculture-NMOSE
Field Survey,Crop Type,NM Irrigated Acreage Assessment,Irrigated Agriculture-NMOSE
USDA Cropland Data Layer (CDL),Crop Type,NM Irrigated Acreage Assessment,Irrigated Agriculture-NMOSE
PRISM,Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
National Weather Service Stations,Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Natural Resources Conservation Service Stations (NRCS),Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Weather Stations,Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
New Mexico Climate Center Stations,Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Western Regional Climate Center (WRCC) Stations,Crop Irrigation Requirement,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
PRISM,Solar Radiation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Solar Radiation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
National Weather Service Stations,Solar Radiation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Natural Resources Conservation Service Stations (NRCS),Solar Radiation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Weather Stations,Solar Radiation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
New Mexico Climate Center Stations,Solar Radiation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Western Regional Climate Center (WRCC) Stations,Solar Radiation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Temperature,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
PRISM,Wind Run,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Wind Run,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Natural Resources Conservation Service Stations (NRCS),Wind Run,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Weather Stations,Wind Run,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
New Mexico Climate Center Stations,Wind Run,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Western Regional Climate Center (WRCC) Stations,Wind Run,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
PRISM,Climate Coefficient (kt),NM Consumptive Use Method,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Climate Coefficient (kt),NM Consumptive Use Method,Irrigated Agriculture-NMOSE
PRISM,Mean Monthly Air Temperatures (T),NM Consumptive Use Method,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Mean Monthly Air Temperatures (T),NM Consumptive Use Method,Irrigated Agriculture-NMOSE
National Weather Service Stations,Mean Monthly Air Temperatures (T),NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Natural Resources Conservation Service Stations (NRCS),Mean Monthly Air Temperatures (T),NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Weather Stations,Mean Monthly Air Temperatures (T),NM Consumptive Use Method,Irrigated Agriculture-NMOSE
New Mexico Climate Center Stations,Mean Monthly Air Temperatures (T),NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Western Regional Climate Center (WRCC) Stations,Mean Monthly Air Temperatures (T),NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Field Survey,Crop Type,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
USDA Cropland Data Layer (CDL),Crop Type,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
PRISM,Effective Precipitation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Effective Precipitation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
National Weather Service Stations,Effective Precipitation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Natural Resources Conservation Service Stations (NRCS),Effective Precipitation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Weather Stations,Effective Precipitation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
New Mexico Climate Center Stations,Effective Precipitation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Western Regional Climate Center (WRCC) Stations,Effective Precipitation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
PRISM,Potential Consumptive Use,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Potential Consumptive Use,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
National Weather Service Stations,Potential Consumptive Use,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Natural Resources Conservation Service Stations (NRCS),Potential Consumptive Use,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Weather Stations,Potential Consumptive Use,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
New Mexico Climate Center Stations,Potential Consumptive Use,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Western Regional Climate Center (WRCC) Stations,Potential Consumptive Use,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
USGS Stream Gages,Water Supply,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
NM Diversion Records,Water Supply,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
PRISM,Precipitation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Precipitation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
National Weather Service Stations,Precipitation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Natural Resources Conservation Service Stations (NRCS),Precipitation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Weather Stations,Precipitation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
New Mexico Climate Center Stations,Precipitation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
Western Regional Climate Center (WRCC) Stations,Precipitation,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
USGS Stream Gages,Streamflow,NM Consumptive Use Method,Irrigated Agriculture-NMOSE
USGS Stream Gages,Streamflow,Indicator Gage Approach,Irrigated Agriculture-NMOSE
Unknown,Unknown,NM Spreadsheet-Based Consumptive Use Model,Irrigated Agriculture-NMOSE
National Oceanic and Atmospheric Administration Stations,Annual Evaporation,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Annual Evaporation,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Rainfall,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
USGS Stream Gages,Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
Irrigation Districts,Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
US Army Corps of Engineers,Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
New Mexico Interstate Stream Commission (NMISC),Reservoir Surface Area,Empirical Data for Small Reservoirs,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Annual Evaporation,Pan Approach,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Annual Evaporation,Pan Approach,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Monthly Evaporation,Pan Approach,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Monthly Evaporation,Pan Approach,Evaporation from Reservoirs-NMOSE
USGS Stream Gages,Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
Irrigation Districts,Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
US Army Corps of Engineers,Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
New Mexico Interstate Stream Commission (NMISC),Average Monthly Reservoir Gage Height,Pan Approach,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Class A Pan Evaporation Data,Pan Approach,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Rainfall,Pan Approach,Evaporation from Reservoirs-NMOSE
USGS Stream Gages,Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
National Oceanic and Atmospheric Administration Stations,Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
Irrigation Districts,Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
US Army Corps of Engineers,Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
New Mexico Interstate Stream Commission (NMISC),Reservoir Surface Area,Pan Approach,Evaporation from Reservoirs-NMOSE
US Bureau of Reclamation Stations,Monthly Gross Evaporation Rate,Pan Approach,Evaporation from Reservoirs-NMOSE
NM Office of the State Engineer (NMOSE),Flow,Metered,Livestock: Metered-NMOSE
New Mexico Department of Agriculture,Livestock Population,Withdrawal Method,Livestock: Unmetered-NMOSE
Unknown,Unknown,Direct Report,Mining: Reported-NMOSE
Facility Director or Operator,Water Use Estimate,Personal Outreach,Mining: Unreported-NMOSE
Unknown,Unknown,Direct Report,Power: Reported-NMOSE
Facility Director or Operator,Water Use Estimate,Personal Outreach,Power: Unreported-NMOSE
NM Office of the State Engineer (NMOSE),Flow,Metered,Public Water Supply: Metered-NMOSE
NM Office of the State Engineer (NMOSE),Gallons Per Capita Per Day (GPDPC),Withdrawal Method,Public Water Supply: Unmetered-NMOSE
US Census Bureau,Population Served by Public Water Supply,Withdrawal Method,Public Water Supply: Unmetered-NMOSE
New Mexico Environment Department (NMED),Population Served by Public Water Supply,Withdrawal Method,Public Water Supply: Unmetered-NMOSE
University of New Mexico Geospatial and Population Studies (UNM GPS),Population Served by Public Water Supply,Withdrawal Method,Public Water Supply: Unmetered-NMOSE
US Census Bureau,Self Supplied Domestic Population,Withdrawal Method,Self-Supplied Domestic-NMOSE
New Mexico Environment Department (NMED),Self Supplied Domestic Population,Withdrawal Method,Self-Supplied Domestic-NMOSE
University of New Mexico Geospatial and Population Studies (UNM GPS),Self Supplied Domestic Population,Withdrawal Method,Self-Supplied Domestic-NMOSE
US Bureau of Reclamation Stations,Unknown,Unknown,Commercial-NMOSE
Irrigation Districts,Unknown,Unknown,Irrigated Agriculture Diversions-NMOSE
New Mexico Interstate Stream Commission (NMISC),Unknown,Unknown,Irrigated Agriculture Diversions-NMOSE
NMOSE’s Water Use and Conservation Bureau (WUCB) Survey,Unknown,Unknown,Public Water Supply: Metered-NMOSE
USGS Stream Gages,Flow,USGS StreamStats,Agricultural and Municipal Diversions-UT
Unknown,Unknown,UT Division of Water Resources Area-Altitude Method,Agricultural and Municipal Diversions-UT
PRISM,Solar Radiation,Daily Penman-Monteith,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Solar Radiation,Daily Penman-Monteith,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Solar Radiation,Daily Penman-Monteith,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Solar Radiation,Daily Penman-Monteith,Agricultural Depletions-UT
MesoWest Stations,Solar Radiation,Daily Penman-Monteith,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Solar Radiation,Daily Penman-Monteith,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Solar Radiation,Daily Penman-Monteith,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Temperature,Daily Penman-Monteith,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Temperature,Daily Penman-Monteith,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Temperature,Daily Penman-Monteith,Agricultural Depletions-UT
MesoWest Stations,Temperature,Daily Penman-Monteith,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Temperature,Daily Penman-Monteith,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Temperature,Daily Penman-Monteith,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Vapor Pressure,Daily Penman-Monteith,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Vapor Pressure,Daily Penman-Monteith,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Vapor Pressure,Daily Penman-Monteith,Agricultural Depletions-UT
MesoWest Stations,Vapor Pressure,Daily Penman-Monteith,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Vapor Pressure,Daily Penman-Monteith,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Vapor Pressure,Daily Penman-Monteith,Agricultural Depletions-UT
PRISM,Wind Run,Daily Penman-Monteith,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Wind Run,Daily Penman-Monteith,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Wind Run,Daily Penman-Monteith,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Wind Run,Daily Penman-Monteith,Agricultural Depletions-UT
MesoWest Stations,Wind Run,Daily Penman-Monteith,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Wind Run,Daily Penman-Monteith,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Wind Run,Daily Penman-Monteith,Agricultural Depletions-UT
PRISM,Climate Coefficient (kt),Modified Blaney-Criddle,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Climate Coefficient (kt),Modified Blaney-Criddle,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Climate Coefficient (kt),Modified Blaney-Criddle,Agricultural Depletions-UT
PRISM,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Agricultural Depletions-UT
MesoWest Stations,Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Mean Monthly Air Temperatures (T),Modified Blaney-Criddle,Agricultural Depletions-UT
Unknown,Unknown,Energy Balance Remote Sensing,Agricultural Depletions-UT
Unknown,Unknown,METRIC,Agricultural Depletions-UT
PRISM,Crop Irrigation Requirement,UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Crop Irrigation Requirement,UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Crop Irrigation Requirement,UT Consumptive Use Method,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Crop Irrigation Requirement,UT Consumptive Use Method,Agricultural Depletions-UT
MesoWest Stations,Crop Irrigation Requirement,UT Consumptive Use Method,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Crop Irrigation Requirement,UT Consumptive Use Method,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Crop Irrigation Requirement,UT Consumptive Use Method,Agricultural Depletions-UT
PRISM,Solar Radiation,UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Solar Radiation,UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Solar Radiation,UT Consumptive Use Method,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Solar Radiation,UT Consumptive Use Method,Agricultural Depletions-UT
MesoWest Stations,Solar Radiation,UT Consumptive Use Method,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Solar Radiation,UT Consumptive Use Method,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Solar Radiation,UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Temperature,UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Temperature,UT Consumptive Use Method,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Temperature,UT Consumptive Use Method,Agricultural Depletions-UT
MesoWest Stations,Temperature,UT Consumptive Use Method,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Temperature,UT Consumptive Use Method,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Temperature,UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Vapor Pressure,UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Vapor Pressure,UT Consumptive Use Method,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Vapor Pressure,UT Consumptive Use Method,Agricultural Depletions-UT
MesoWest Stations,Vapor Pressure,UT Consumptive Use Method,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Vapor Pressure,UT Consumptive Use Method,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Vapor Pressure,UT Consumptive Use Method,Agricultural Depletions-UT
PRISM,Wind Run,UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Wind Run,UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Wind Run,UT Consumptive Use Method,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Wind Run,UT Consumptive Use Method,Agricultural Depletions-UT
MesoWest Stations,Wind Run,UT Consumptive Use Method,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Wind Run,UT Consumptive Use Method,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Wind Run,UT Consumptive Use Method,Agricultural Depletions-UT
PRISM,Climate Coefficient (kt),UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Climate Coefficient (kt),UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Climate Coefficient (kt),UT Consumptive Use Method,Agricultural Depletions-UT
PRISM,Mean Monthly Air Temperatures (T),UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Mean Monthly Air Temperatures (T),UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Mean Monthly Air Temperatures (T),UT Consumptive Use Method,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Mean Monthly Air Temperatures (T),UT Consumptive Use Method,Agricultural Depletions-UT
MesoWest Stations,Mean Monthly Air Temperatures (T),UT Consumptive Use Method,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Mean Monthly Air Temperatures (T),UT Consumptive Use Method,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Mean Monthly Air Temperatures (T),UT Consumptive Use Method,Agricultural Depletions-UT
Satellite and Aerial Photos,Crop Type,UT Consumptive Use Method,Agricultural Depletions-UT
Ground Survey,Crop Type,UT Consumptive Use Method,Agricultural Depletions-UT
PRISM,Effective Precipitation,UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Effective Precipitation,UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Effective Precipitation,UT Consumptive Use Method,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Effective Precipitation,UT Consumptive Use Method,Agricultural Depletions-UT
MesoWest Stations,Effective Precipitation,UT Consumptive Use Method,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Effective Precipitation,UT Consumptive Use Method,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Effective Precipitation,UT Consumptive Use Method,Agricultural Depletions-UT
Satellite and Aerial Photos,Irrigated Acreage,UT Consumptive Use Method,Agricultural Depletions-UT
Ground Survey,Irrigated Acreage,UT Consumptive Use Method,Agricultural Depletions-UT
USGS Stream Gages,Water Supply,UT Consumptive Use Method,Agricultural Depletions-UT
UT Diversion Records from River Commissioners,Water Supply,UT Consumptive Use Method,Agricultural Depletions-UT
PRISM,Agricultural Potential Consumptive Use-UT,UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Agricultural Potential Consumptive Use-UT,UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Agricultural Potential Consumptive Use-UT,UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Effective Precipitation,Crop Irrigation Requirement Estimation Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Effective Precipitation,Crop Irrigation Requirement Estimation Method,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Effective Precipitation,Crop Irrigation Requirement Estimation Method,Agricultural Depletions-UT
MesoWest Stations,Effective Precipitation,Crop Irrigation Requirement Estimation Method,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Effective Precipitation,Crop Irrigation Requirement Estimation Method,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Effective Precipitation,Crop Irrigation Requirement Estimation Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Agricultural Potential Consumptive Use-UT,Crop Irrigation Requirement Estimation Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Agricultural Potential Consumptive Use-UT,Crop Irrigation Requirement Estimation Method,Agricultural Depletions-UT
Unknown,Unknown,Inflow-Outflow Approach,Agricultural Depletions-UT
Unknown,Irrigation Method,UT Irrigated Acreage Assessment,Agricultural Depletions-UT
