state_cL,ftype_cL,fsource_cL,fsink_cL,cL,scL,state_scL,ftype_scL,fsource_scL,fsink_scL,c,sc,empty
UT,Internal Transfer,Zone Land System,Zone Surface Water,Municipal and Industrial Return Flow-UT,Municipal and Industrial Diversions-UT,UT,Internal Transfer,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialReturnFlow-UT,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialDiversions-UT,NA
UT,Internal Transfer,Zone Land System,Zone Surface Water,Municipal and Industrial Return Flow-UT,Municipal and Industrial Diversions-UT,UT,Internal Transfer,Zone Groundwater,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialReturnFlow-UT,http://purl.org/iow/WaterBudgetingFramework#MunicipalAndIndustrialDiversions-UT,NA
CA,Storage Change,NA,NA,Change in Land System Storage-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#ChangeInLandSystemStorage-CA,NA,NA
NM,NA,NA,NA,Livestock: Metered-NMOSE,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#Livestock%3AMetered-NMOSE,NA,NA
CA,Storage Change,NA,NA,Change in Total System Storage-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#ChangeInTotalSystemStorage-CA,NA,NA
WY,Outflow,Zone Surface Water,External Groundwater,Ungaged Stream Losses-WY,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#UngagedStreamLosses-WY,NA,NA
CA,Inflow,NA,NA,Total Groundwater System Inflow-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#TotalGroundwaterSystemInflow-CA,NA,NA
CA,Outflow,Zone Surface Water,Atmosphere,Conveyance Evaporation-CA,NA,NA,NA,NA,NA,http://purl.org/iow/WaterBudgetingFramework#ConveyanceEvaporation-CA,NA,NA
NM,Internal Transfer,Zone Surface Water,Zone Land System,Irrigated Agriculture Diversions-NMOSE,Irrigated Agriculture-NMOSE,NM,Outflow,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDiversions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgriculture-NMOSE,NA
NM,Internal Transfer,Zone Groundwater,Zone Land System,Irrigated Agriculture Diversions-NMOSE,Irrigated Agriculture-NMOSE,NM,Outflow,Zone Surface Water,Zone Land System,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgricultureDiversions-NMOSE,http://purl.org/iow/WaterBudgetingFramework#IrrigatedAgriculture-NMOSE,NA
